query_id,engine,mode,status,cold_s,warm_median_s,warm_p95_s,warm_min_s,warm_max_s,cold_vs_warm,rows_returned,spill,warm_iters,timestamp,workload,wall_time_s,rows_loaded,files_loaded,elapsed_s,rows_per_s,wall_s,batches,batch_size,total_rows,total_s,median_batch_ms,p95_batch_ms,min_batch_ms,max_batch_ms,iterations,errors,submit_median_ms,submit_p95_ms,completion_total_s,semantic_note,rows_affected,submit_elapsed_s,completion_elapsed_s,total_elapsed_s,error,median_ms,p95_ms,min_ms,max_ms
Q08_string_like,doris,local,OK,1.9283,1.6649,1.6842,1.6587,1.6876,0.2633,10.0,False,5.0,2026-04-15T17:57:01.356574+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09_approx_distinct,doris,local,OK,8.1937,8.0627,8.0678,7.9242,8.1861,0.1309,584.0,False,5.0,2026-04-15T17:57:49.967947+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10_window_func,doris,local,OK,3.383,3.2638,3.2706,3.215,3.2779,0.1192,584.0,False,5.0,2026-04-15T17:58:09.818171+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11_json_extract,doris,local,OK,3.2962,3.0922,3.1375,3.0404,3.1391,0.204,50.0,False,5.0,2026-04-15T17:58:28.703133+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12_heavy_spill,doris,local,OOM,,,,,,,,,,2026-04-15T17:58:41.009707+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,"1105 (HY000): errCode = 2, detailMessage = (172.20.80.3)[CANCELLED]Allocator sys memory check failed: Cannot alloc:134217728, consuming tracker:<Query#Id=6e966b75b9524161-b0a4cf596e88503f>, peak used 2843030704, current used 2843030704, exec node:<>, process memory used 4.36 GB exceed limit 4.50 GB or sys available memory 350.97 MB less than low water mark 256.00 MB.",,,,
Q13_multi_dim_groupby,doris,local,OK,3.3731,2.4674,2.5509,2.4433,2.5727,0.9057,3240.0,False,5.0,2026-04-15T17:58:57.014358+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doris,,OK,,,,,,,,,,2026-04-15T18:03:52.165637+00:00,W1_bulk_load,294.995,10000000.0,1160.0,294.745,33928.0,295.15,,,,,,,,,,,,,,,,,,,,,,,
,doris,,OK,,,,,,,,,,2026-04-15T18:06:02.039036+00:00,W2_micro_batch,,,,,3864.0,129.871,50.0,10000.0,500000.0,129.405,443.72,524.6,389.8,553.2,,,,,,,,,,,,,,,
,doris,,FEATURE_GAP,,,,,,,,,,2026-04-15T18:06:02.585339+00:00,W3_point_update,,,,,,0.532,,,,0.335,,,,,,,,,,Doris DUPLICATE KEY tables do not support row-level UPDATE. Use event_fact_mow (UNIQUE KEY + enable_unique_key_merge_on_write=true). Partial update via HTTP stream load with __DORIS_DELETE_SIGN__ is the idiomatic path.,,,,,,,,,
,doris,,FEATURE_GAP,,,,,,,,,,2026-04-15T18:06:02.713871+00:00,W4_bulk_update,,,,,,0.115,,,,,,,,,,,,,,"Doris DUPLICATE KEY model does not support UPDATE statements. Bulk updates require: (a) switch to UNIQUE KEY MoW table, or (b) INSERT OVERWRITE with full partition replacement, or (c) stream load with __DORIS_DELETE_SIGN__ column for delete+reinsert. This is a material operational gap vs DuckDB/ClickHouse.",,,,,,,,,
